EXO 1:1	Iată numele fiilor lui Israel care au venit în Egipt cu Iacov, fiecare cu familia lui:
EXO 11:10	Moise and Aaron did all these wonders before Faraon, but the DOMNUL hardened Faraon’s heart, and he didn’t let the children of Israel să plece out of his țară.
EXO 12:1	The DOMNUL a vorbit lui Moise and Aaron in the țară of Egipt, saying,
EXO 12:2	This month shall be to you the beginning of months. It shall be the first month of the year to you. (text revizuit în limba română cu diacritice)
EXO 12:3	Speak to all the congregation of Israel, saying, ‘On the tenth day of this month, they shall take to them every man a lamb, according to their fathers’ houses, a lamb for a household; (text revizuit în limba română cu diacritice)
EXO 12:4	and if the household is too little for a lamb, then he and his neighbor next to his house shall take one according to the number of the souls. You shall make your count for the lamb according to what everyone can eat. (text revizuit în limba română cu diacritice)
EXO 12:5	Your lamb shall be without defect, a male a year old. You shall take it from the sheep or from the să pleceats.
EXO 12:6	You shall keep it until the fourteenth day of the same month; and the whole assembly of the congregation of Israel shall kill it at evening. (text revizuit în limba română cu diacritice)
EXO 12:7	They shall take some of the blood, and put it on the two door posts and on the lintel, on the houses in which they shall eat it. (text revizuit în limba română cu diacritice)
EXO 12:8	They shall eat the meat in that night, roasted with fire, with unleavened bread. They shall eat it with bitter herbs. (text revizuit în limba română cu diacritice)
EXO 12:9	Don’t eat it raw, nor boiled at all with water, but roasted with fire; with its head, its legs and its inner parts. (text revizuit în limba română cu diacritice)
EXO 12:10	You shall let nothing of it remain until the morning; but that which remains of it until the morning you shall burn with fire. (text revizuit în limba română cu diacritice)
EXO 12:11	This is how you shall eat it: with your belt on your waist, your sandals on your feet, and your staff in your mână; and you shall eat it in haste: it is the DOMNUL’s Passover.
EXO 12:12	For I will să plece through the țară of Egipt in that night, and will strike all the firstborn in the țară of Egipt, both man and animal. I will execute judgments against all the să pleceds of Egipt. Eu sunt the DOMNUL.
EXO 12:13	The blood shall be to you for a token on the houses where you are. When I see the blood, I will pass over you, and no plague will be on you to destroy you when I strike the țară of Egipt.
EXO 12:14	This day shall be a memorial for you. You shall keep it as a feast to the DOMNUL. You shall keep it as a feast throughout your generations by an ordinance forever. (text revizuit în limba română cu diacritice)
EXO 12:15	‘Seven days you shall eat unleavened bread; even the first day you shall put away yeast out of your houses, for whoever eats leavened bread from the first day until the seventh day, that soul shall be cut off from Israel. (text revizuit în limba română cu diacritice)
EXO 12:16	In the first day there shall be to you a holy convocation, and in the seventh day a holy convocation; no kind of work shall be done in them, except that which every man must eat, only that may be done by you. (text revizuit în limba română cu diacritice)
EXO 12:17	You shall observe the feast of unleavened bread; for in this same day I have brought your armies out of the țară of Egipt. Therefore you shall observe this day throughout your generations by an ordinance forever.
EXO 12:18	In the first month, on the fourteenth day of the month at evening, you shall eat unleavened bread, until the twenty first day of the month at evening. (text revizuit în limba română cu diacritice)
EXO 12:19	There shall be no yeast found in your houses for seven days, for whoever eats that which is leavened, that soul shall be cut off from the congregation of Israel, whether he is a foreigner, or one who is born in the țară.
EXO 12:20	You shall eat nothing leavened. In all your habitations you shall eat unleavened bread.’  (text revizuit în limba română cu diacritice)
EXO 12:21	Then Moise called for all the elders of Israel, and i-a zis lui them, Draw out, and take lambs according to your families, and kill the Passover. (text revizuit în limba română cu diacritice)
EXO 12:22	You shall take a bunch of hyssop, and dip it in the blood that is in the basin, and strike the lintel and the two door posts with the blood that is in the basin. None of you shall să plece out of the door of his house until the morning.
EXO 12:23	For the DOMNUL will pass through to strike the Egiptians; and when he sees the blood on the lintel, and on the two door posts, the DOMNUL will pass over the door, and will not allow the destroyer to come in to your houses to strike you. (text revizuit în limba română cu diacritice)
EXO 12:24	You shall observe this thing for an ordinance to you and to your sons forever. (text revizuit în limba română cu diacritice)
EXO 12:25	It shall happen when you have come to the țară which the DOMNUL will give you, as he has promised, that you shall keep this service.
EXO 12:26	It will happen, when your children ask you, ‘What do you mean by this service?’ (text revizuit în limba română cu diacritice)
EXO 12:27	that you shall say, ‘It is the sacrifice of the DOMNUL’s Passover, who passed over the houses of the children of Israel in Egipt, when he struck the Egiptians, and spared our houses.’  The people bowed their heads and worshiped. (text revizuit în limba română cu diacritice)
EXO 12:28	The children of Israel went and did so; as the DOMNUL had commanded Moise and Aaron, so they did. (text revizuit în limba română cu diacritice)
EXO 12:29	At midnight, the DOMNUL struck all the firstborn in the țară of Egipt, from the firstborn of Faraon who sat on his throne to the firstborn of the captive who was in the dungeon, and all the firstborn of livestock.
EXO 12:30	Faraon rose up in the night, he, and all his servants, and all the Egiptians; and there was a great cry in Egipt, for there was not a house where there was not one dead. (text revizuit în limba română cu diacritice)
EXO 12:31	He called for Moise and Aaron by night, and a zis, Rise up, get out from among poporul Meu, both you and the children of Israel; and să plece, serve the DOMNUL, as you have a zis!
EXO 12:32	Take both your flocks and your herds, as you have a zis, and be să plecene; and bless me also!
EXO 12:33	The Egiptians were urgent with the people, to send them out of the țară in haste, for they a zis, We are all dead men.
EXO 12:34	The people took their dough before it was leavened, their kneading troughs being bound up in their clothes on their shoulders. (text revizuit în limba română cu diacritice)
EXO 12:35	The children of Israel did according to the word of Moise; and they asked of the Egiptians jewels of silver, and jewels of să pleceld, and clothing.
EXO 12:36	The DOMNUL gave the people favor in the sight of the Egiptians, so that they let them have what they asked. They plundered the Egiptians. (text revizuit în limba română cu diacritice)
EXO 12:37	The children of Israel traveled from Rameses to Succoth, about six hundred thousand on foot who were men, in addition to children. (text revizuit în limba română cu diacritice)
EXO 12:38	A mixed multitude went up also with them, with flocks, herds, and even very much livestock. (text revizuit în limba română cu diacritice)
EXO 12:39	They baked unleavened cakes of the dough which they brought out of Egipt; for it wasn’t leavened, because they were thrust out of Egipt, and couldn’t wait, and they had not prepared any food for themselves. (text revizuit în limba română cu diacritice)
EXO 12:40	Now the time that the children of Israel lived in Egipt was four hundred thirty years. (text revizuit în limba română cu diacritice)
EXO 12:41	At the end of four hundred thirty years, to the day, all of the DOMNUL’s armies went out from the țară of Egipt.
EXO 12:42	It is a night to be much observed to the DOMNUL for bringing them out from the țară of Egipt. This is that night of the DOMNUL, to be much observed by all the children of Israel throughout their generations.
EXO 12:43	The DOMNUL i-a zis lui Moise and Aaron, This is the ordinance of the Passover. No foreigner shall eat of it, (text revizuit în limba română cu diacritice)
EXO 12:44	but every man’s servant who is bought for money, when you have circumcised him, then shall he eat of it. (text revizuit în limba română cu diacritice)
EXO 12:45	A foreigner and a hired servant shall not eat of it. (text revizuit în limba română cu diacritice)
EXO 12:46	It must be eaten in one house. You shall not carry any of the meat outside of the house. Do not break any of its bones. (text revizuit în limba română cu diacritice)
EXO 12:47	All the congregation of Israel shall keep it. (text revizuit în limba română cu diacritice)
EXO 12:48	When a stranger lives as a foreigner with you, and would like to keep the Passover to the DOMNUL, let all his males be circumcised, and then let him come near and keep it. He shall be as one who is born in the țară; but no uncircumcised person shall eat of it.
EXO 12:49	One law shall be to him who is born at home, and to the stranger who lives as a foreigner among you. (text revizuit în limba română cu diacritice)
EXO 12:50	All the children of Israel did so. As the DOMNUL commanded Moise and Aaron, so they did. (text revizuit în limba română cu diacritice)
EXO 12:51	That same day, the DOMNUL brought the children of Israel out of the țară of Egipt by their armies.
EXO 13:1	The DOMNUL a vorbit lui Moise, saying, (text revizuit în limba română cu diacritice)
EXO 13:2	Sanctify to me all the firstborn, whatever opens the womb among the children of Israel, both of man and of animal. It is mine. (text revizuit în limba română cu diacritice)
EXO 13:3	Moise i-a zis lui the people, Remember this day, in which you came out of Egipt, out of the house of bondage; for by strength of mână the DOMNUL brought you out from this place. No leavened bread shall be eaten.
EXO 13:4	Today you să plece out in the month Abib.
EXO 13:5	It shall be, when the DOMNUL brings you into the țară of the Canaanite, and the Hittite, and the Amorite, and the Hivite, and the Jebusite, which he swore to your fathers to give you, a țară flowing with milk and honey, that you shall keep this service in this month.
EXO 13:6	Seven days you shall eat unleavened bread, and in the seventh day shall be a feast to the DOMNUL. (text revizuit în limba română cu diacritice)
EXO 13:7	Unleavened bread shall be eaten throughout the seven days; and no leavened bread shall be seen with you. No yeast shall be seen with you, within all your borders. (text revizuit în limba română cu diacritice)
EXO 13:8	You shall tell your son in that day, saying, ‘It is because of that which the DOMNUL did for me when I came out of Egipt.’ (text revizuit în limba română cu diacritice)
EXO 13:9	It shall be for a sign to you on your mână, and for a memorial between your eyes, that the DOMNUL’s law may be in your mouth; for with a strong mână the DOMNUL has brought you out of Egipt.
EXO 13:10	You shall therefore keep this ordinance in its season from year to year. (text revizuit în limba română cu diacritice)
EXO 13:11	It shall be, when the DOMNUL brings you into the țară of the Canaanite, as he swore to you and to your fathers, and will give it to you,
EXO 13:12	that you shall set apart to the DOMNUL all that opens the womb, and every firstborn that comes from an animal which you have. The males shall be the DOMNUL’s. (text revizuit în limba română cu diacritice)
EXO 13:13	Every firstborn of a donkey you shall redeem with a lamb; and if you will not redeem it, then you shall break its neck; and you shall redeem all the firstborn of man among your sons. (text revizuit în limba română cu diacritice)
EXO 13:14	It shall be, when your son asks you in time to come, saying, ‘What is this?’ that you shall tell him, ‘By strength of mână the DOMNUL brought us out from Egipt, from the house of bondage.
EXO 13:15	When Faraon stubbornly refused to let us să plece, the DOMNUL killed all the firstborn in the țară of Egipt, both the firstborn of man, and the firstborn of livestock. Therefore I sacrifice to the DOMNUL all that opens the womb, being males; but all the firstborn of my sons I redeem.’
EXO 13:16	It shall be for a sign on your mână, and for symbols between your eyes; for by strength of mână the DOMNUL brought us out of Egipt.
EXO 13:17	When Faraon had let the people să plece, Dumnezeu didn’t lead them by the way of the țară of the Philistines, although that was near; for Dumnezeu a zis, Lest perhaps the people change their minds when they see war, and they return to Egipt;
EXO 13:18	but Dumnezeu led the people around by the way of the wilderness by the Red Sea; and the children of Israel went up armed out of the țară of Egipt.
EXO 13:19	Moise took the bones of Joseph with him, for he had made the children of Israel swear, saying, Dumnezeu will surely visit you, and you shall carry up my bones away from here with you. (text revizuit în limba română cu diacritice)
EXO 13:20	They took their journey from Succoth, and encamped in Etham, in the edge of the wilderness. (text revizuit în limba română cu diacritice)
EXO 13:21	The DOMNUL went before them by day in a pillar of cloud, to lead them on their way, and by night in a pillar of fire, to give them light, that they might să plece by day and by night:
EXO 13:22	the pillar of cloud by day, and the pillar of fire by night, didn’t depart from before the people. (text revizuit în limba română cu diacritice)
EXO 14:1	The DOMNUL a vorbit lui Moise, saying, (text revizuit în limba română cu diacritice)
EXO 14:2	Speak to the children of Israel, that they turn back and encamp before Pihahiroth, between Migdol and the sea, before Baal Zephon. You shall encamp opposite it by the sea. (text revizuit în limba română cu diacritice)
EXO 14:3	Faraon will say of the children of Israel, ‘They are entangled in the țară. The wilderness has shut them in.’
EXO 14:4	I will harden Faraon’s heart, and he will follow after them; and I will get honor over Faraon, and over all his armies; and the Egiptians shall know that Eu sunt the DOMNUL. They did so. (text revizuit în limba română cu diacritice)
EXO 14:5	The king of Egipt was told that the people had fled; and the heart of Faraon and of his servants was changed toward the people, and they a zis, What is this we have done, that we have let Israel să plece from serving us?
EXO 14:6	He prepared his chariot, and took his army with him; (text revizuit în limba română cu diacritice)
EXO 14:7	and he took six hundred chosen chariots, and all the chariots of Egipt, with captains over all of them. (text revizuit în limba română cu diacritice)
EXO 14:8	The DOMNUL hardened the heart of Faraon king of Egipt, and he pursued the children of Israel; for the children of Israel went out with a high mână.
EXO 14:9	The Egiptians pursued them. All the horses and chariots of Faraon, his horsemen, and his army overtook them encamping by the sea, beside Pihahiroth, before Baal Zephon. (text revizuit în limba română cu diacritice)
EXO 14:10	When Faraon came near, the children of Israel lifted up their eyes, and behold, the Egiptians were marching after them; and they were very afraid. The children of Israel cried out to the DOMNUL. (text revizuit în limba română cu diacritice)
EXO 14:11	They i-a zis lui Moise, Because there were no graves in Egipt, have you taken us away to die in the wilderness? Why have you treated us this way, to bring us out of Egipt? (text revizuit în limba română cu diacritice)
EXO 14:12	Isn’t this the word that we a vorbit lui you in Egipt, saying, ‘Leave us alone, that we may serve the Egiptians’? For it would have been better for us to serve the Egiptians than to die in the wilderness. (text revizuit în limba română cu diacritice)
EXO 14:13	Moise i-a zis lui the people, Don’t be afraid. Stand still, and see the salvation of the DOMNUL, which he will work for you today; for you will never again see the Egiptians whom you have seen today. (text revizuit în limba română cu diacritice)
EXO 14:14	The DOMNUL will fight for you, and you shall be still. (text revizuit în limba română cu diacritice)
EXO 14:15	The DOMNUL i-a zis lui Moise, Why do you cry to me? Speak to the children of Israel, that they să plece forward.
EXO 14:16	Lift up your rod, and întinde your mână over the sea and divide it. Then the children of Israel shall să plece into the middle of the sea on dry ground.
EXO 14:17	Behold, I myself will harden the hearts of the Egiptians, and they will să plece in after them. I will get myself honor over Faraon, and over all his armies, over his chariots, and over his horsemen.
EXO 14:18	The Egiptians shall know that Eu sunt the DOMNUL when I have să plecetten myself honor over Faraon, over his chariots, and over his horsemen.
EXO 14:19	The angel of Dumnezeu, who went before the camp of Israel, moved and went behind them; and the pillar of cloud moved from before them, and stood behind them. (text revizuit în limba română cu diacritice)
EXO 14:20	It came between the camp of Egipt and the camp of Israel. There was the cloud and the darkness, yet it gave light by night. One didn’t come near the other all night. (text revizuit în limba română cu diacritice)
EXO 14:21	Moise stretched out his mână over the sea, and the DOMNUL caused the sea to să plece back by a strong east wind all night, and made the sea dry țară, and the waters were divided.
EXO 14:22	The children of Israel went into the middle of the sea on the dry ground; and the waters were a wall to them on their right mână and on their left.
EXO 14:23	The Egiptians pursued, and went in after them into the middle of the sea: all of Faraon’s horses, his chariots, and his horsemen. (text revizuit în limba română cu diacritice)
EXO 14:24	In the morning watch, the DOMNUL looked out on the Egiptian army through the pillar of fire and of cloud, and confused the Egiptian army. (text revizuit în limba română cu diacritice)
EXO 14:25	He took off their chariot wheels, and they drove them heavily; so that the Egiptians a zis, Let’s flee from the face of Israel, for the DOMNUL fights for them against the Egiptians! (text revizuit în limba română cu diacritice)
EXO 14:26	The DOMNUL i-a zis lui Moise, Stretch out your mână over the sea, that the waters may come again on the Egiptians, on their chariots, and on their horsemen.
EXO 14:27	Moise stretched out his mână over the sea, and the sea returned to its strength when the morning appeared; and the Egiptians fled against it. The DOMNUL overthrew the Egiptians in the middle of the sea.
EXO 14:28	The waters returned, and covered the chariots and the horsemen, even all Faraon’s army that went in after them into the sea. There remained not so much as one of them. (text revizuit în limba română cu diacritice)
EXO 14:29	But the children of Israel walked on dry țară in the middle of the sea, and the waters were a wall to them on their right mână and on their left.
EXO 14:30	Thus the DOMNUL saved Israel that day out of the mână of the Egiptians; and Israel saw the Egiptians dead on the seashore.
EXO 14:31	Israel saw the great work which the DOMNUL did to the Egiptians, and the people feared the DOMNUL; and they believed in the DOMNUL and in his servant Moise. (text revizuit în limba română cu diacritice)
EXO 15:1	Then Moise and the children of Israel sang this song to the DOMNUL, and a zis, I will sing to the DOMNUL, for he has triumphed gloriously. He has thrown the horse and his rider into the sea. (text revizuit în limba română cu diacritice)
EXO 15:2	The DOMNUL is my strength and song. He has become my salvation. This is my Dumnezeu, and I will praise him; my father’s Dumnezeu, and I will exalt him. (text revizuit în limba română cu diacritice)
EXO 15:3	The DOMNUL is a man of war. The DOMNUL is his name. (text revizuit în limba română cu diacritice)
EXO 15:4	He has cast Faraon’s chariots and his army into the sea. His chosen captains are sunk in the Red Sea. (text revizuit în limba română cu diacritice)
EXO 15:5	The deeps cover them. They went down into the depths like a stone. (text revizuit în limba română cu diacritice)
EXO 15:6	Your right mână, DOMNUL, is glorious in power. Your right mână, DOMNUL, dashes the enemy in pieces.
EXO 15:7	In the greatness of your excellency, you overthrow those who rise up against you. You send out your wrath. It consumes them as stubble. (text revizuit în limba română cu diacritice)
EXO 15:8	With the blast of your nostrils, the waters were piled up. The floods stood upright as a heap. The deeps were congealed in the heart of the sea. (text revizuit în limba română cu diacritice)
EXO 15:9	The enemy a zis, ‘I will pursue. I will overtake. I will divide the plunder. My desire will be satisfied on them. I will draw my sword. My mână will destroy them.’
EXO 15:10	You blew with your wind. The sea covered them. They sank like lead in the mighty waters. (text revizuit în limba română cu diacritice)
EXO 15:11	Who is like you, DOMNUL, among the să pleceds? Who is like you, glorious in holiness, fearful in praises, doing wonders?
EXO 15:12	You stretched out your right mână. The earth swallowed them.
EXO 15:13	You, in your loving kindness, have led the people that you have redeemed. You have guided them in your strength to your holy habitation. (text revizuit în limba română cu diacritice)
EXO 15:14	The peoples have heard. They tremble. Pangs have taken hold of the inhabitants of Philistia. (text revizuit în limba română cu diacritice)
EXO 15:15	Then the chiefs of Edom were dismayed. Trembling takes hold of the mighty men of Moab. All the inhabitants of Canaan have melted away. (text revizuit în limba română cu diacritice)
EXO 15:16	Terror and dread falls on them. By the greatness of your arm they are as still as a stone, until your people pass over, DOMNUL, until the people you have purchased pass over. (text revizuit în limba română cu diacritice)
EXO 15:17	You will bring them in, and plant them in the mountain of your inheritance, the place, DOMNUL, which you have made for yourself to dwell in: the sanctuary, Lord, which your mânăs have established.
EXO 15:18	The DOMNUL will reign forever and ever. (text revizuit în limba română cu diacritice)
EXO 15:19	For the horses of Faraon went in with his chariots and with his horsemen into the sea, and the DOMNUL brought back the waters of the sea on them; but the children of Israel walked on dry țară in the middle of the sea.
EXO 15:20	Miriam the prophetess, the sister of Aaron, took a tambourine in her mână; and all the women went out after her with tambourines and with dances.
EXO 15:21	Miriam answered them, Sing to the DOMNUL, for he has triumphed gloriously. He has thrown the horse and his rider into the sea. (text revizuit în limba română cu diacritice)
EXO 15:22	Moise led Israel onward from the Red Sea, and they went out into the wilderness of Shur; and they went three days in the wilderness, and found no water. (text revizuit în limba română cu diacritice)
EXO 15:23	When they came to Marah, they couldn’t drink from the waters of Marah, for they were bitter. Therefore its name was called Marah. (text revizuit în limba română cu diacritice)
EXO 15:24	The people murmured against Moise, saying, What shall we drink? (text revizuit în limba română cu diacritice)
EXO 15:25	Then he cried to the DOMNUL. The DOMNUL showed him a tree, and he threw it into the waters, and the waters were made sweet. There he made a statute and an ordinance for them, and there he tested them. (text revizuit în limba română cu diacritice)
EXO 15:26	He a zis, If you will diligently listen to the DOMNUL your Dumnezeu’s voice, and will do that which is right in his eyes, and will pay attention to his commandments, and keep all his statutes, I will put none of the diseases on you which I have put on the Egiptians; for Eu sunt the DOMNUL who heals you. (text revizuit în limba română cu diacritice)
EXO 15:27	They came to Elim, where there were twelve springs of water and seventy palm trees. They encamped there by the waters. (text revizuit în limba română cu diacritice)
EXO 16:1	They took their journey from Elim, and all the congregation of the children of Israel came to the wilderness of Sin, which is between Elim and Sinai, on the fifteenth day of the second month after their departing out of the țară of Egipt.
EXO 16:2	The whole congregation of the children of Israel murmured against Moise and against Aaron in the wilderness; (text revizuit în limba română cu diacritice)
EXO 16:3	and the children of Israel i-a zis lui them, We wish that we had died by the DOMNUL’s mână in the țară of Egipt, when we sat by the meat pots, when we ate our fill of bread, for you have brought us out into this wilderness to kill this whole assembly with hunger.
EXO 16:4	Then the DOMNUL i-a zis lui Moise, Behold, I will rain bread from the sky for you, and the people shall să plece out and gather a day’s portion every day, that I may test them, whether they will walk in my law or not.
EXO 16:5	It shall come to pass on the sixth day, that they shall prepare that which they bring in, and it shall be twice as much as they gather daily. (text revizuit în limba română cu diacritice)
EXO 16:6	Moise and Aaron i-a zis lui all the children of Israel, At evening, you shall know that the DOMNUL has brought you out from the țară of Egipt.
EXO 16:7	In the morning, you shall see the DOMNUL’s glory; because he hears your murmurings against the DOMNUL. Who are we, that you murmur against us? (text revizuit în limba română cu diacritice)
EXO 16:8	Moise a zis, Now the DOMNUL will give you meat to eat in the evening, and in the morning bread to satisfy you, because the DOMNUL hears your murmurings which you murmur against him. And who are we? Your murmurings are not against us, but against the DOMNUL. (text revizuit în limba română cu diacritice)
EXO 16:9	Moise i-a zis lui Aaron, Tell all the congregation of the children of Israel, ‘Come close to the DOMNUL, for he has heard your murmurings.’  (text revizuit în limba română cu diacritice)
EXO 16:10	As Aaron a vorbit lui the whole congregation of the children of Israel, they looked toward the wilderness, and behold, the DOMNUL’s glory appeared in the cloud. (text revizuit în limba română cu diacritice)
EXO 16:11	The DOMNUL a vorbit lui Moise, saying, (text revizuit în limba română cu diacritice)
EXO 16:12	I have heard the murmurings of the children of Israel. Speak to them, saying, ‘At evening you shall eat meat, and in the morning you shall be filled with bread. Then you will know that Eu sunt the DOMNUL your Dumnezeu.’  (text revizuit în limba română cu diacritice)
EXO 16:13	In the evening, quail came up and covered the camp; and in the morning the dew lay around the camp. (text revizuit în limba română cu diacritice)
EXO 16:14	When the dew that lay had să plecene, behold, on the surface of the wilderness was a small round thing, small as the frost on the ground.
EXO 16:15	When the children of Israel saw it, they i-a zis lui one another, What is it? For they didn’t know what it was. Moise i-a zis lui them, It is the bread which the DOMNUL has given you to eat. (text revizuit în limba română cu diacritice)
EXO 16:16	This is the thing which the DOMNUL has commanded: ‘Gather of it everyone according to his eating; an omer a head, according to the number of your persons, you shall take it, every man for those who are in his tent.’  (text revizuit în limba română cu diacritice)
EXO 16:17	The children of Israel did so, and some gathered more, some less. (text revizuit în limba română cu diacritice)
EXO 16:18	When they measured it with an omer, he who gathered much had nothing over, and he who gathered little had no lack. They each gathered according to his eating. (text revizuit în limba română cu diacritice)
EXO 16:19	Moise i-a zis lui them, Let no one leave of it until the morning. (text revizuit în limba română cu diacritice)
EXO 16:20	Notwithstanding they didn’t listen to Moise, but some of them left of it until the morning, so it bred worms and became foul; and Moise was angry with them. (text revizuit în limba română cu diacritice)
EXO 16:21	They gathered it morning by morning, everyone according to his eating. When the sun grew hot, it melted. (text revizuit în limba română cu diacritice)
EXO 16:22	On the sixth day, they gathered twice as much bread, two omers for each one; and all the rulers of the congregation came and told Moise. (text revizuit în limba română cu diacritice)
EXO 16:23	He i-a zis lui them, This is that which the DOMNUL has spoken, ‘Tomorrow is a solemn rest, a holy Sabbath to the DOMNUL. Bake that which you want to bake, and boil that which you want to boil; and all that remains over lay up for yourselves to be kept until the morning.’  (text revizuit în limba română cu diacritice)
EXO 16:24	They laid it up until the morning, as Moise ordered, and it didn’t become foul, and there were no worms in it. (text revizuit în limba română cu diacritice)
EXO 16:25	Moise a zis, Eat that today, for today is a Sabbath to the DOMNUL. Today you shall not find it in the field. (text revizuit în limba română cu diacritice)
EXO 16:26	Six days you shall gather it, but on the seventh day is the Sabbath. In it there shall be none. (text revizuit în limba română cu diacritice)
EXO 16:27	On the seventh day, some of the people went out to gather, and they found none. (text revizuit în limba română cu diacritice)
EXO 16:28	The DOMNUL i-a zis lui Moise, How long do you refuse to keep my commandments and my laws? (text revizuit în limba română cu diacritice)
EXO 16:29	Behold, because the DOMNUL has given you the Sabbath, therefore he gives you on the sixth day the bread of two days. Everyone stay in his place. Let no one să plece out of his place on the seventh day.
EXO 16:30	So the people rested on the seventh day. (text revizuit în limba română cu diacritice)
EXO 16:31	The house of Israel called its name Manna, and it was like coriander seed, white; and its taste was like wafers with honey. (text revizuit în limba română cu diacritice)
EXO 16:32	Moise a zis, This is the thing which the DOMNUL has commanded, ‘Let an omer-full of it be kept throughout your generations, that they may see the bread with which I fed you in the wilderness, when I brought you out of the țară of Egipt.’
EXO 16:33	Moise i-a zis lui Aaron, Take a pot, and put an omer-full of manna in it, and lay it up before the DOMNUL, to be kept throughout your generations. (text revizuit în limba română cu diacritice)
EXO 16:34	As the DOMNUL commanded Moise, so Aaron laid it up before the Testimony, to be kept. (text revizuit în limba română cu diacritice)
EXO 16:35	The children of Israel ate the manna forty years, until they came to an inhabited țară. They ate the manna until they came to the borders of the țară of Canaan.
EXO 16:36	Now an omer is one tenth of an ephah. (text revizuit în limba română cu diacritice)
EXO 17:1	All the congregation of the children of Israel traveled from the wilderness of Sin, starting according to the DOMNUL’s commandment, and encamped in Rephidim; but there was no water for the people to drink. (text revizuit în limba română cu diacritice)
EXO 17:2	Therefore the people quarreled with Moise, and a zis, Give us water to drink. Moise i-a zis lui them, Why do you quarrel with me? Why do you test the DOMNUL? (text revizuit în limba română cu diacritice)
EXO 17:3	The people were thirsty for water there; so the people murmured against Moise, and a zis, Why have you brought us up out of Egipt, to kill us, our children, and our livestock with thirst? (text revizuit în limba română cu diacritice)
EXO 17:4	Moise cried to the DOMNUL, saying, What shall I do with these people? They are almost ready to stone me. (text revizuit în limba română cu diacritice)
EXO 17:5	The DOMNUL i-a zis lui Moise, Walk on before the people, and take the elders of Israel with you, and take the rod in your mână with which you struck the Nile, and să plece.
EXO 17:6	Behold, I will stand before you there on the rock in Horeb. You shall strike the rock, and water will come out of it, that the people may drink. Moise did so in the sight of the elders of Israel. (text revizuit în limba română cu diacritice)
EXO 17:7	He called the name of the place Massah, and Meribah, because the children of Israel quarreled, and because they tested the DOMNUL, saying, Is the DOMNUL among us, or not? (text revizuit în limba română cu diacritice)
EXO 17:8	Then Amalek came and fought with Israel in Rephidim. (text revizuit în limba română cu diacritice)
EXO 17:9	Moise i-a zis lui Joshua, Choose men for us, and să plece out to fight with Amalek. Tomorrow I will stand on the top of the hill with Dumnezeu’s rod in my mână.
EXO 17:10	So Joshua did as Moise had told him, and fought with Amalek; and Moise, Aaron, and Hur went up to the top of the hill. (text revizuit în limba română cu diacritice)
EXO 17:11	When Moise held up his mână, Israel prevailed. When he let down his mână, Amalek prevailed.
EXO 17:12	But Moise’ mânăs were heavy; so they took a stone, and put it under him, and he sat on it. Aaron and Hur held up his mânăs, the one on the one side, and the other on the other side. His mânăs were steady until sunset.
EXO 17:13	Joshua defeated Amalek and his people with the edge of the sword. (text revizuit în limba română cu diacritice)
EXO 17:14	The DOMNUL i-a zis lui Moise, Write this for a memorial in a book, and rehearse it in the ears of Joshua: that I will utterly blot out the memory of Amalek from under the sky. (text revizuit în limba română cu diacritice)
EXO 17:15	Moise built an altar, and called its name The DOMNUL our Banner. (text revizuit în limba română cu diacritice)
EXO 17:16	He a zis, The DOMNUL has sworn: ‘The DOMNUL will have war with Amalek from generation to generation.’  (text revizuit în limba română cu diacritice)
EXO 18:1	Now Jethro, the priest of Midian, Moise’ father-in-law, heard of all that Dumnezeu had done for Moise and for Israel his people, how the DOMNUL had brought Israel out of Egipt. (text revizuit în limba română cu diacritice)
EXO 18:2	Jethro, Moise’ father-in-law, received Zipporah, Moise’ wife, after he had sent her away, (text revizuit în limba română cu diacritice)
EXO 18:3	and her two sons. The name of one son was Gershom, for Moise a zis, I have lived as a foreigner in a foreign țară.
EXO 18:4	The name of the other was Eliezer, for he a zis, My father’s Dumnezeu was my help and delivered me from Faraon’s sword. (text revizuit în limba română cu diacritice)
EXO 18:5	Jethro, Moise’ father-in-law, came with Moise’ sons and his wife to Moise into the wilderness where he was encamped, at the Mountain of Dumnezeu. (text revizuit în limba română cu diacritice)
EXO 18:6	He i-a zis lui Moise, I, your father-in-law Jethro, have come to you with your wife, and her two sons with her. (text revizuit în limba română cu diacritice)
EXO 18:7	Moise went out to meet his father-in-law, and bowed and kissed him. They asked each other of their welfare, and they came into the tent. (text revizuit în limba română cu diacritice)
EXO 18:8	Moise told his father-in-law all that the DOMNUL had done to Faraon and to the Egiptians for Israel’s sake, all the hardships that had come on them on the way, and how the DOMNUL delivered them. (text revizuit în limba română cu diacritice)
EXO 18:9	Jethro rejoiced for all the să pleceodness which the DOMNUL had done to Israel, in that he had delivered them out of the mână of the Egiptians.
EXO 18:10	Jethro a zis, Blessed be the DOMNUL, who has delivered you out of the mână of the Egiptians, and out of the mână of Faraon; who has delivered the people from under the mână of the Egiptians.
EXO 18:11	Now I know that the DOMNUL is greater than all să pleceds because of the way that they treated people arrogantly.
EXO 18:12	Jethro, Moise’ father-in-law, took a burnt offering and sacrifices for Dumnezeu. Aaron came with all the elders of Israel, to eat bread with Moise’ father-in-law before Dumnezeu. (text revizuit în limba română cu diacritice)
