n	reviewId	meaningSha256	ref	original	meaning	evidence	strongLemma	glossLocator
76	19c815e2a65cf3bcabd949f360f715aa31448e4a527d2a0d6dbdbde490a8c755	sha256:7394ea2ee689f3e6962d55ec5b7d5b8b5ad554779f119f74de1f31417a3a1796	Ioan 1:14-18	μονογενής	unic, singurul de acest fel; în context, unicitatea Fiului față de Tatăl.	unique	G3439 μονογενής	unique @ TBESG line 3552
77	dc0ff6118f7a5da7490324e88ea0e9986a418138e8310ea2e9e471bfceeaa850	sha256:379f475892dafef7fef3fa021a53439715c3742f00c674cd62709fd1e9b4da0d	Ioan 1:19-34	ἀμνός	miel. La Ioan, cuvântul trimite spre jertfa și spre purtarea pacatului.	unique	G0286 ἀμνός	lamb @ TBESG line 389
78	cc8b77f7d674aacfecdd37f693ef7f50c0ab6c52be5ddd5cb812edc813c09309	sha256:00ec0cc5f9c1e24dfa67daf20ba8add08f9e0626cb72c7e5c0af74e275edc7a0	Ioan 1:19-34	μαρτυρέω	a marturisi. A spune deschis adevărul despre cine este Hristos.	unique	G3140 μαρτυρέω	to testify @ TBESG line 3350
79	2c7d7a40c553a8d2dfc88bf50c9500a4c805d3e16ce31881a2b31a71d245db4f	sha256:10c92ee7e8069fe4183affe37daa55e981f12458f36059eea246ded121c3a8ac	Ioan 1:19-34	μένω	a rămâne. Duhul nu doar atinge, ci rămâne peste Fiul.	unique	G3306 μένω	to stay @ TBESG line 3419
80	ae192cc520d78485dd3dcbe20c3959a0868b10a514cef439a734b587266d3321	sha256:cb95ce769923a97c90a0b187aa6bfdd16b2a96dc2e17547af3805355d260f4db	Ioan 1:35-51	ῥαββί	Învățătorule. Titlul cu care ucenicii se apropie de Isus.	unique	G4461 ῥαββί	Rabbi @ TBESG line 4594
81	df8fd878afda288d9249530288775e695bdb466cf2df90be45e84504417795ea	sha256:62f0102389fb98281df529f3ef83769c09eee7d46f299fd89abbfc9cc94cf204	Ioan 1:35-51	Μεσσίας	Mesia, Unsul. Cel așteptat în făgăduințele lui Dumnezeu.	unique	G3323 Μεσσίας	Messiah @ TBESG line 3436
82	8c17a56798684592258a54d40e219addfdf6fb8582fa5adade1da2aa5a22f1a3	sha256:10c46cf4a3e2ebd1e18a6efbb8c90c41875100a23a8cccb428e7313b8a880262	Ioan 1:35-51	υἱὸς τοῦ ἀνθρώπου	Fiul omului; titlu folosit de Isus despre Sine.	unique	G5207 + G3588 + G0444 υἱός ὁ ἄνθρωπος	son; the/this/who; a human @ TBESG line 5362 + TBESG line 3702 + TBESG line 551
83	dd68d65a5370ffea2236b4b4bdb20d9df7cb61b6d158cd3fe9c90e04eb3d3b1f	sha256:b2e7236b0f28b551328eb339b9431baef591acf5f115cc9213e2c2582bae19db	Ioan 2:1-12	σημεῖον	semn. La Ioan, nu minune goala, ci lucrare care arată cine este Isus.	unique	G4592 σημεῖον	sign @ TBESG line 4730
84	a99f544ab925425e8ca9683492224b623b408b0f926b66c2f708624fc0a9c5fe	sha256:c61985f64aa0536494a66df4862837f900cebbf48d4b5cd3b94443d6a335083c	Ioan 2:1-12	ὥρα	ceasul. Vremea hotărâtă a lucrarii și a slavei lui Hristos.	unique	G5610 ὥρα	hour @ TBESG line 5785
85	e5ccef6374c2074564a1baa35553aa0c71ad166289a0000dd93d3458a4d64002	sha256:63d7fbc98a260ce34055a9cfd513926505e35c1f678d2acafe82143c78fc09a6	Ioan 2:1-12	δόξα	slavă, glorie, onoare; în context, slava arătată în Fiul.	unique	G1391 δόξα	glory @ TBESG line 1523
86	fc05a7719ffdbe08bd1af55620718c3250c2148938fa4f65af7040326863a655	sha256:ec371ddffbeadc5d9e2e15eef97d3da5a742b9d63f89aedeb4192f2cb41cbc4a	Ioan 2:13-22	ζῆλος	râvnă, zel.	unique	G2205 ζῆλος	zeal @ TBESG line 2349
87	0f78256134fee04cc4c1e601ecbdc56a9f6196c241d05623924ad2286e1a4ee2	sha256:46a5d41376408d098b23042790ba6225860d6668495a621aa82984e4aa2568a8	Ioan 2:13-22	ναός	templu. În vorba Domnului de aici, Ioan arată ca se refera la trupul Sau.	unique	G3485 ναός	temple @ TBESG line 3598
88	6965574d62716adbcfba29cd03257771a45abd034370f99d17795bf230161e66	sha256:815ac9bcf847e745ab68f5264a122024d37e2e4f5f02f2084cebdc7868961a9d	Ioan 2:23-25	πιστεύω	a crede, a se încrede. Același verb arată aici și credința oamenilor, și faptul ca Isus nu Se încredea în ei.	unique	G4100 πιστεύω	to trust (in) @ TBESG line 4224
89	85cbf464b77737683084655e0934ef3f5e1ca63ec5f1b6a4e7bcb6db7602ec46	sha256:7d9e9528defedcaed53a06d65097be40e1396dd66ab9620fec79dd86864f48a3	Ioan 2:23-25	γινώσκω	a cunoaste. La Ioan, cunoaștere reala, nu simpla informatie.	unique	G1097 γινώσκω	to know @ TBESG line 1228
90	254fb970aa7a78c6df37d7cf2d3ad3b6cc9dcf65d27c32e34b4575436b8b5fa0	sha256:417b1f9d8e41570352e0c2d31c154effaf3828d9db15eabb32cba6975906160a	Ioan 3:1-8	ἄνωθεν	din nou, de sus. La Ioan, cuvântul lasă sa se auda amândouă: naștere noua și naștere venita de sus.	unique	G0509 ἄνωθεν	from above/again @ TBESG line 617
91	4ece62acf15b2be77a9a026fe390c6901043924c0726df1c7311b42fac8a819f	sha256:5933060adc7b2a47b7e9473dd35d8da5f35c0463c69ea6efd5b49a152ef3792e	Ioan 3:1-8	πνεῦμα	duh, suflare, vant. Același cuvânt le leaga pe toate trei în vorbirea Domnului.	unique	G4151 πνεῦμα	spirit/breath: spirit / spirit/breath: breath @ TBESG lines 4276-4277
92	8852d4e7ebccb482e660cc95d5a7fa12bbd7097823faa65c56d4f9531288f63f	sha256:71a05876d3205377056060b19169926290ee6633d811797c0c1edae38d25a9e1	Ioan 3:9-21	ὑψωθῆναι	a fi înălțat. La Ioan, cuvântul priveste spre cruce și spre slava de dupa ea.	unique	G5312 ὑψόω	to lift up @ TBESG line 5468
93	79a6ebbe41f0f2dc46917a715b117ab311aff690b77b0cb5ca663576d8483517	sha256:5e9e968d77c708a27a316caea626e15ea2a3fe05bc2013e0a3de17fd14e67c44	Ioan 3:9-21	κρίσις	judecată, actul sau hotărârea de judecare.	unique	G2920 κρίσις	judgment @ TBESG line 3115
94	5800acb0e610da0917a4f92c07cba14c0e010819ad1025e1b585c3dcd90b6aca	sha256:d838aa235cca4dd0dfd6f245323748d32dd8ea491225ca3c3d28b83fb4e3ec7e	Ioan 3:22-36	νυμφίος	mire. Imagine a bucuriei și a implinirii legamantului.	unique	G3566 νυμφίος	bridegroom @ TBESG line 3680
95	b30b4beaaf93a6e3a9b2a17a300991388512845e89f7cd099eafc2adf6dcbe87	sha256:0c620d0a49bdff166e89f3e94742897005feff38592d74798445afc6102b30cc	Ioan 3:22-36	μένει	rămâne. La finalul capitolului, mânia lui Dumnezeu nu vine abia atunci, ci rămâne peste omul care refuză pe Fiul.	unique	G3306 μένω	to stay @ TBESG line 3419
96	aa6679a461d8e9ec786f1073b708b3813a93e47844c15e1ecd95d07275db3d14	sha256:42316acc4c9b56dcd18bd6c67213c3101cf124ee878579505932e6e63b5bccbb	Ioan 4:1-26	δωρεά	dar. Accentul cade pe ceea ce Dumnezeu da, nu pe ce poate aduce omul.	unique	G1431 δωρεά	free gift @ TBESG line 1563
97	76eadd9fc3775ae5a48f33de378d0c5e785c3c3e02d5a88e1aeaa563fc377ce6	sha256:48bc8fbb249771953bc71a88259addc2b42d4d45b71e75536688f7f7b41fb16e	Ioan 4:1-26	ὕδωρ ζῶν	apa vie. Apa curgatoare, dar la Ioan și imagine a vieții date de Hristos.	unique	G5204 + G2198 ὕδωρ ζάω	water; to live @ TBESG line 5359 + TBESG line 2341
98	242c9b2768286b026bca6dcdf2fb87f2ae911b80cd1e0eef4ed6b5a863535fb8	sha256:10319728a79d7d59bd85ffe4d11a7baadf0f95498876ec7a834dfc81577e04a6	Ioan 4:1-26	προσκυνέω	a se inchina. A se pleca inaintea lui Dumnezeu cu cinstire și adevăr.	unique	G4352 προσκυνέω	to worship @ TBESG line 4482
99	772928f0106a504158b26e63a58c636c97e63364c3c7dbccd05cb892f54bd1b2	sha256:45952ecfee89414a67216d38f8e4af9d605d34a07243daf78595a56f2aa75e16	Ioan 4:27-42	μαρτυρία	mărturie. Adevăr spus despre lucrarea și Persoana lui Hristos.	unique	G3141 μαρτυρία	testimony @ TBESG line 3351
100	83fa3235ce313b76c6bfce2b9c843db1f0ca8650742acb8afb7afced16ab614b	sha256:546d469f4d00e1bfca2adca4ae95695e0aa677ceedd076460616241b445021e1	Ioan 4:27-42	σωτὴρ τοῦ κόσμου	Mântuitorul lumii. Mărturisire larga despre intinderea mântuirii aduse de Fiul.	unique	G4990 + G3588 + G2889 σωτήρ ὁ κόσμος	savior; the/this/who; world @ TBESG line 5142 + TBESG line 3702 + TBESG line 3084
101	2f6949597e64790905730d2614a17555792de7c24bfdf8dbe40cf1084f5f9f21	sha256:64994f7ee5a71e61be9f7c0da3d53920969036a38a610718d0624ecbaa6215c4	Ioan 4:43-54	πιστεύω	a crede, a se încrede. La Ioan, credința adevărată se sprijină pe Fiul și pe cuvântul Lui.	unique	G4100 πιστεύω	to trust (in) @ TBESG line 4224
102	3f8c1deec1a5705c2b1a5ad59f6dd18667f75e6f7dc9c084809403bc6dba2c30	sha256:890ff20d438671bee6a0c02ac3b54b11149ae9cb54473fe163ff28d8b886a6ed	Ioan 4:43-54	ζῇ	traieste. Cuvânt scurt și puternic prin care Domnul aduce viață și mângâiere.	unique	G2198 ζάω	to live @ TBESG line 2341
103	dca1917e723220882dbc86b635f838e178095fec9b8dc6d47017d13cb9e541d7	sha256:3683f4d249445f8e6e41c296e6700a7dd6c80f98a442dfd3b6de8bf56afd15d0	Ioan 5:1-18	σάββατον	Sabat. Ziua odihnei, aici devenita loc de conflict cu privire la adevărata ei implinire.	unique	G4521 σάββατον	Sabbath @ TBESG line 4655
104	82946550c758575b832dee81260af40a92b1a497263d7f22542fbe304282b6ac	sha256:ebc2849f15575b73c989d19ca63660dc7adc6cb87fcfa237e7b0acd1b5a0552c	Ioan 5:19-30	ζωὴν ἐν ἑαυτῷ	viață în Sine; ζωή = viață, ἐν = în, ἑαυτῷ = în Sine/în el însuși.	unique	G2222 + G1722 + G1438 ζωή ἐν ἑαυτοῦ	life; in/on/among; themself @ TBESG line 2367 + TBESG line 1863 + TBESG line 1570
105	7746c2bdb1efe61d87cda5707895b22e663cd600af37ad0b3bcd943eb86375e2	sha256:5e9e968d77c708a27a316caea626e15ea2a3fe05bc2013e0a3de17fd14e67c44	Ioan 5:19-30	κρίσις	judecată, actul sau hotărârea de judecare.	unique	G2920 κρίσις	judgment @ TBESG line 3115
106	a586f1a9829f64e4351a7f6dd0602ae55dbb20abf3471225e52bb4fab0b71093	sha256:595bc617607895f20274a8e369fa94c7b3c9267a332c878007235868efc08ba0	Ioan 5:19-30	τιμῶσι	să cinstească, să onoreze; în context, cinstirea Fiului.	unique	G5091 τιμάω	to honor @ TBESG line 5246
107	f1962cc613dd971b8eadc661e27f9d9bb5e143e94ad37e460d36763904636a2f	sha256:41de7065b14f2a1701713ae1a49006ad35258194344140c706f9e24a2c886f91	Ioan 5:31-47	μαρτυρία	mărturie. Adeverirea identitatii lui Hristos din mai multe directii.	unique	G3141 μαρτυρία	testimony @ TBESG line 3351
108	0b95e7771998194fa44419b85e3187bca075817875c1365fd6190b5d199f11cb	sha256:278ff98ece78df011d62dceb7663aa026cf26124adf8acb51e723063aba4bbdf	Ioan 5:31-47	δόξα	slava. Aici și în sensul de onoare omeneasca pe care oamenii și-o dau unii altora.	unique	G1391 δόξα	glory @ TBESG line 1523
109	96a0e81cabebefce72540f5a09368a480c8069b5f42342717b8edbdacc10b5d5	sha256:5ea63595c30f0ba83796e60a3279949997c13f68b6546371459c3ae4de2ae5f8	Ioan 6:1-21	σημεῖον	semn. Lucrare care arată cine este Hristos, nu doar puterea Lui.	unique	G4592 σημεῖον	sign @ TBESG line 4730
110	828d53dcf60484e2b7c7ac90ea924aabd1ba312b013854847438ae8086ae7f67	sha256:9a5cecfbed2290e9537db092d49aea9ae0bb569f2f3414f9a3973e931fc7db33	Ioan 6:1-21	ἐγώ εἰμι	Eu sunt. Formula grea de prezența și autoritate rostita de Domnul.	unique	G1473 + G1510 ἐγώ εἰμί	I/we; to be @ TBESG line 1605 + TBESG line 1650
111	c6353469398bb74b5496f975191da93ba18807d02a98b50b9ad2a4df79caf146	sha256:8c3e74e5f0084d9fb06b0ddc4343799597c43fd89982cf64ab01f16d3783f0ae	Ioan 6:22-59	ἄρτος τῆς ζωῆς	Pâinea vieții. Hristos ca hrana adevărată și de neocolit a sufletului.	unique	G0740 + G3588 + G2222 ἄρτος ὁ ζωή	bread; the/this/who; life @ TBESG line 849 + TBESG line 3702 + TBESG line 2367
112	124e103d13772b3d49ad388ba1efa338b4b693877f6ba991992edb06629ced37	sha256:f43c02806612fad8c9bc91e42da04864d63e839d85fa250c4be1a870c6c37e2f	Ioan 6:22-59	ἕλκω	a atrage. Lucrarea Tatalui care aduce omul la Fiul.	unique	G1670 ἕλκω	to draw/persuade @ TBESG line 1811
113	e72b99f50539e2adcaf18020cf8c38debb0104cf57b7835230da608ba095f2fd	sha256:83e2ef74b2025c7c93818e15f9d5bd596a4e4b9d2f775376f62df2e4ac75c825	Ioan 6:22-59	μένω	a rămâne. Legătura vie și statornică dintre credincios și Hristos.	unique	G3306 μένω	to stay @ TBESG line 3419
114	b23597dad359d8c7aebdac8b20825879602c5a2dda3d3284ae0f5d735e3e8440	sha256:8f3df03c1475ae468727175d1324c324b3c27c51856efbfb2193ef358d727ea6	Ioan 6:60-71	ῥήματα ζωῆς αἰωνίου	cuvintele vieții veșnice. Vorbirea lui Hristos ca izvor de viață.	unique	G4487 + G2222 + G0166 ῥῆμα ζωή αἰώνιος	declaration; life; eternal @ TBESG line 4620 + TBESG line 2367 + TBESG line 265
115	fbcf70e4de3c69ecc6bbe5ba555fb7f5532f545499eecb12f495c44e51bceaef	sha256:07ad954847ee1fb09a1bee81f89d86292c312c077577e88ba4f18ee602a73a3e	Ioan 6:60-71	σκανδαλίζω	a poticni, a scandaliza. Cuvântul adevărului loveste în așteptările firii.	unique	G4624 σκανδαλίζω	to cause to stumble @ TBESG line 4770
116	45603208b59bbd0b824dc082cff55aa5ff5bc28b723a59dd5192deaec095e3a1	sha256:f28c0f7069e9c1fc3fd88a5beb31b3096e0f7f6ea61556d05b6d938bb8d9bee3	Ioan 7:1-24	καιρός	vreme, ceas potrivit. Timp hotarat în rânduiala lui Dumnezeu.	unique	G2540 καιρός	time/right time @ TBESG line 2723
117	10132b51091fd6a292b52198fd43bd8b42de8f0c09789d2d762b34ac708a1d59	sha256:54eafb8bae701e5eaec7a35dee6b31b1c2c659a425face3b0d2b4427d96e303e	Ioan 7:1-24	δόξα	slava. Onoarea pe care omul o cauta pentru sine sau o da lui Dumnezeu.	unique	G1391 δόξα	glory @ TBESG line 1523
118	fedeb3e0a38baab8ea49b97df3d53601e77c08caeaf7489f272d3f57360915cf	sha256:a51b6957ff10b73a7fa29ed03780b2e089dd8ec82bdf17712ddac2e4e1281b05	Ioan 7:25-39	διψάω	a înseta. Foamea adâncă a omului după viața lui Dumnezeu.	unique	G1372 διψάω	to thirst @ TBESG line 1504
119	e7daa3752f47c5538b77b050e182b9d4c76797ec4e1717df3f7e880d9fd85e39	sha256:7f4e79a8f4c57585a1de9301fcf772c43d2db49dc33af06e4509299e58d8a8e1	Ioan 7:25-39	ποταμοὶ ὕδατος ζῶντος	rauri de apa vie. Imagine a vieții Duhului care se revarsa.	unique	G4215 + G5204 + G2198 ποταμός ὕδωρ ζάω	river; water; to live @ TBESG line 4344 + TBESG line 5359 + TBESG line 2341
120	d2dad7ecc89c3b36df3923daf38c109403ef6aa6ceca51d37c8ed5e251940537	sha256:772f89b042993fc2007eb6f2f273496961c791e3757b6d39067b6f915db1ddb5	Ioan 7:25-39	ἐδοξάσθη	a fost proslăvit. La Ioan, slava Fiului trece prin cruce, înviere și înălțare.	unique	G1392 δοξάζω	to glorify @ TBESG line 1524
121	e2e012bb225aa3398b89d88f924dfa645fcab0744193ab5ebf1ba08445d5f984	sha256:2f04cb3b4732c18a8c97e95503ba01eccf05d5f00004d9cc7b13fe6175db4ac7	Ioan 7:40-53	σχίσμα	dezbinare. Rupere produsa de raspunsurile diferite date lui Hristos.	unique	G4978 σχίσμα	split @ TBESG line 5130
122	a15ce67708d74e88c0418196cb6afaa75bf9b42b1894d34e0fe096cead163f07	sha256:96b5b7b694bca9518c1dc3d866421518798e9d21a1b3379a4a5c148e33392be2	Ioan 7:40-53	πλανάω	a duce în rătăcire. Acuzatia adusa Domnului de cei împotrivitori.	unique	G4105 πλανάω	to lead astray @ TBESG line 4230
123	fd36b10a216fbc1aa56a38834f0f2136529c7493779783af71c7dd92f80a6c1d	sha256:bb9fb77dbef1730da707c9dee656ff135a36dd22f5702859aef4ce405f12b469	Ioan 8:1-20	φῶς τοῦ κόσμου	Lumina lumii. Hristos ca descoperire, călăuzire și viață pentru om.	unique	G5457 + G3588 + G2889 φῶς ὁ κόσμος	light; the/this/who; world @ TBESG line 5623 + TBESG line 3702 + TBESG line 3084
124	c2f47583d5d7720955d68e4f962ef73aa03ab7b6297ee67cd75ca16efb862b2f	sha256:0eab22f922496447f690fd1818531cd1740bb8a33f3c1ac369119e662bb595d6	Ioan 8:1-20	μαρτυρία	mărturie. Adeverirea identitatii lui Hristos.	unique	G3141 μαρτυρία	testimony @ TBESG line 3351
125	0a465caf6f441894254053e76ad93f75f56a5609ac446f9cc5923cb01895c8ac	sha256:d7ccf6380fbcb7b662128ff19bbbabafd450d12eb7ee5df2ccc62e2d67db0f72	Ioan 8:21-47	ἀλήθεια	adevăr. La Ioan, adevăr viu și mantuitor, nu simpla informatie.	unique	G0225 ἀλήθεια	truth @ TBESG line 327
126	ef35e181c2a5201ff6b3e09dedfe9a6b368094ecc58d7730ddbdfb0aa230f011	sha256:e458b64c24b0bfc9ae275e8990129d6f5f46d782e22cc75827f214d78c49aff8	Ioan 8:21-47	ἐλευθερόω	a face slobod. Eliberarea pe care o aduce Fiul.	unique	G1659 ἐλευθερόω	to set free @ TBESG line 1799
127	ea9ddbe7382015ae6df07065c63742b9acca4db91b2d14c01e6e0385c475716d	sha256:91805f13c4262f6a72c303ff5833b733ccbfd245f91d5c61a997d121d9b6e333	Ioan 8:21-47	μένω	a rămâne. Statornicia în cuvântul lui Hristos.	unique	G3306 μένω	to stay @ TBESG line 3419
128	8dc6fe8dde306d1e6cf2ec68bd49d7047feca2a2c16b2acacca8102e417fd557	sha256:ca989cc826b81a4758de36116c93c74d4dcacab6821a91ddd29090c6f0b43437	Ioan 8:48-59	ἐγώ εἰμι	Eu sunt. Formula de auto-descoperire cu greutate dumnezeiască.	unique	G1473 + G1510 ἐγώ εἰμί	I/we; to be @ TBESG line 1605 + TBESG line 1650
129	eddacba61f5168ce6eb091887de710209fea877f32343fec88cc74f8354b9587	sha256:b14deed83f988b811b7d6b0ad8e2b65db5d5c28d4344affcd30293bc4eec541f	Ioan 8:48-59	τηρέω	a pazi. A tine cuvântul cu credinciosie, nu doar a-l auzi.	unique	G5083 τηρέω	to keep: observe / to keep: guard / to keep: protect @ TBESG lines 5235-5237
130	f9f14ada77c6378fe0f85dc9d4edcdfde0dabb3b1b8691afb09a730cb4fe3dd9	sha256:37bd42e0d21ba323ef2513a40a055f2bc00bdf43fc13c2a8637f2b7fc0b87105	Ioan 9:1-12	φῶς τοῦ κόσμου	Lumina lumii. Hristos ca lumina care descoperă și vindeca.	unique	G5457 + G3588 + G2889 φῶς ὁ κόσμος	light; the/this/who; world @ TBESG line 5623 + TBESG line 3702 + TBESG line 3084
131	4e85be8ea8871f063669782f68324e495d6e07a4f8fa453006892b68a2b09314	sha256:47d34b56b211a4417d9a81a321876ff9c8c5e3b6147ac999e9be23edf7402ff3	Ioan 9:1-12	Σιλωάμ	Siloam, tălmăcit Trimis. Nume care se potriveste cu Cel ce trimite și cu Cel trimis.	unique	G4611 Σιλωάμ	Siloam @ TBESG line 4749
132	87ba85973735e71e217d1c0531e873c69d052ce9101ff1778f766f442a292fa5	sha256:9437d7018c89babfac73b8d4f0c20e20cb10da3b30eaef7f7add0a282971ec39	Ioan 9:13-34	σημεῖα	semne. Lucrări care arată prezența și autoritatea lui Dumnezeu în Hristos.	unique	G4592 σημεῖον	sign @ TBESG line 4730
133	a56b91c661a7ed7cf4008e00863b692a7f40d9cadc754a631b8bd6033728e1fa	sha256:4323d2fa797bd067662aaffe4bc1ad0eebb63e2fbb8a0954dd1aaebe29741286	Ioan 9:13-34	συναγωγή	sinagoga. Loc al vieții religioase și sociale, din care excluderea era grea.	unique	G4864 συναγωγή	synagogue @ TBESG line 5016
134	75a05dc217b6023d54cb1d952f85406a09e84c2a387ef1abf40506eaeb511ff9	sha256:9a047da1df3ae6a2d2c742e86fc2b86d5c2fb836e7de8f4c0213258c8ccbc3fe	Ioan 9:35-41	προσκυνέω	a se inchina. Plecare inaintea lui Hristos cu credință și cinstire.	unique	G4352 προσκυνέω	to worship @ TBESG line 4482
135	76da8f072a1d78d90706e7d6bca00e68ad5f424d58ddb18330c65cbf4e95408f	sha256:f78118c42e151012158b1c3a0a11b0392d196e7f1eb0ae5f23b6abe11699a9c2	Ioan 9:35-41	κρίμα	judecata. Separarea produsa de venirea luminii.	unique	G2917 κρίμα	judgment @ TBESG line 3112
136	c1e26f4907ff4b51c02a2634beff8514f0a03a3e49151167d6fb7f91b629b548	sha256:6ab35865a1e4d76c9b64f523cc773e4678b8d8aed613f2f5ffd3a5207b29215b	Ioan 10:1-18	θύρα	usa, poarta. Hristos ca singura intrare spre mântuire și viață.	unique	G2374 θύρα	door @ TBESG line 2523
137	6bb39df24b7be72e98a0499dab3d7efd38ab979555d30baf592c2d32361ce48b	sha256:10b307a9218bfc5514d9b468ad74568d614448f1f93ebd5eddd718814300d428	Ioan 10:1-18	ποιμὴν ὁ καλός	Păstorul cel bun; ποιμήν = păstor, καλός = bun, frumos sau nobil.	unique	G4166 + G3588 + G2570 ποιμήν ὁ καλός	shepherd; the/this/who; good / Fair (Havens) @ TBESG line 4295 + TBESG line 3702 + TBESG lines 2759-2760
138	a818dbc09e31bdafc9dfed92b0453addaa42241441668a207237cc0cc513bea4	sha256:dee31e495c4fa888b22eb5adf4f814bfd8d36a51bc9fe6a9191a98fd1f4c0fd7	Ioan 10:1-18	περισσόν	din belșug, din abundență, peste măsură.	unique	G4053 περισσός	excessive @ TBESG line 4175
139	d8c4193ca48608bbfd7ab68e122e767c567c2ee193cbe2f9c74e5c6b73348fc6	sha256:9be4bcbf4a77f5821e68b65f2db15815b32ccc1e944323a57da54b1a153119b9	Ioan 10:19-30	ἁρπάζω	a smulge, a răpune prin forta. Nimeni nu poate smulge oile din mâna Lui.	unique	G0726 ἁρπάζω	to seize @ TBESG line 835
140	4a202680b915971bb91e294ad7f94c48be743e5a4465517e4b7302bad3a7ae55	sha256:bb2a6af4d3438bb016d85fc26d5fcb072f5b6aed20eabb2b839c9b2a1aa8ae12	Ioan 10:19-30	ζωὴ αἰώνιος	viață veșnică. Viață dată acum și purtata până la capăt de Hristos.	unique	G2222 + G0166 ζωή αἰώνιος	life; eternal @ TBESG lines 265,2367
141	a95afb9e85a5188209daf9606be1ae9c1213e7d689c3374545c82246294fd4ab	sha256:1d7d4ea6123ef1d8e8d7e5e85968511e9e5dc7a9dd9ffa52358efabe4b176afc	Ioan 10:19-30	ἕν	una, unul (formă neutră); în context, expresia despre Tatăl și Fiul.	ambiguous	G1520:εἷς || G1527:εἷς καθ᾽ εἷς	one@TBESG line 1660 || one by one@TBESG line 1667
142	aa278d5e725449498468fe167c681ec006bdb880e0896c83f5d75bd8611a95cd	sha256:a33b637ea468ad6d325609cc2c7349cc7fd37b3b5bdbe4d15e09a1f809c0608f	Ioan 10:31-42	βλασφημία	hula. Acuzatia adusa Domnului de potrivnici.	unique	G0988 βλασφημία	blasphemy @ TBESG line 1110
143	198125047248b93e8ff1b13b82274f908fbf99b1f916521b1748cd16d6387bf7	sha256:9d45279e196cb2c6e959cedf7f9e295d47a0f19febd0270257181987a75e5dac	Ioan 10:31-42	ἡ γραφὴ οὐ δύναται λυθῆναι	Scriptura nu poate fi desființată. Tăria și autoritatea permanenta a Scripturii.	ambiguous	G3588 + G1124 + G3364 + G1410 + G3089:ὁ γραφή οὐ μή δύναμαι λύω || G3588 + G1124 + G3756 + G1410 + G3089:ὁ γραφή οὐ δύναμαι λύω || G3588 + G1124 + G20727 + G1410 + G3089:ὁ γραφή μὴ οὐ δύναμαι λύω || G3588 + G1124 + G20852 + G1410 + G3089:ὁ γραφή οὐ μή δύναμαι λύω	the/this/who; a writing; never; be able; to loose@TBESG line 3702 + TBESG line 1255 + TBESG line 3477 + TBESG line 1542 + TBESG line 3291 || the/this/who; a writing; no; be able; to loose@TBESG line 3702 + TBESG line 1255 + TBESG line 3874 + TBESG line 1542 + TBESG line 3291 || the/this/who; a writing; isn't it?; be able; to loose@TBESG line 3702 + TBESG line 1255 + TBESG line 10356 + TBESG line 1542 + TBESG line 3291 || the/this/who; a writing; surely not; be able; to loose@TBESG line 3702 + TBESG line 1255 + TBESG line 10480 + TBESG line 1542 + TBESG line 3291
144	889996b1570261283c5834a6cc83409c539cbfba6afe8f4558a36266f5ad1f2e	sha256:29351e9b2f5e95e31a719de8c68d0eb1cdfaefc4a281b96d8e2a24422109b8fd	Ioan 11:1-27	ἀνάστασις	înviere. Ridicare din moarte prin puterea lui Dumnezeu.	unique	G0386 ἀνάστασις	resurrection @ TBESG line 492
145	ac0284208a0caf254f8d9957143b4c10d37291c9656426530ad484b17c7abde9	sha256:80c4c3bd98448ad2faef0c35f5970f4ba63e1545e31fcc972b34ed24a7a51a61	Ioan 11:1-27	ζωή	viață. La Ioan, viață deplină, aflata în Fiul.	unique	G2222 ζωή	life @ TBESG line 2367
146	8c0b2782b3d0721d80462a9fa0754506dfa3c37eba5e7178dc433097ef89158c	sha256:eae42dabb0fc40fe2b54b38f99185115eb550df974f70b5897c9c0cec64109f3	Ioan 11:28-46	ἐδάκρυσεν	a plâns. Lacrimă reala a Domnului în fața durerii și a morții.	unique	G1145 δακρύω	to weep @ TBESG line 1277
147	5368c53cfcf813602ac32c009927604bf9628b1c195c5248021dc24f1f9151a0	sha256:6a3f1aaafbe8d8b711887202ca6ccbea3a8470ffb64e3cb83ee4bc7e282b019a	Ioan 11:28-46	κράζω	a striga cu glas tare. Porunca plină de autoritate data mortului.	unique	G2896 κράζω	to cry @ TBESG line 3091
148	da791841281813161e6aa490d529e338e850252e9846afef47c84cf3bc893527	sha256:74a09ad312bb198385061142680a3c73e6675aaeed6f58d0106d1707c2d60591	Ioan 11:47-57	συνέδριον	sobor, Sinedriu. Adunarea conducătorilor religiosi.	unique	G4892 συνέδριον	council @ TBESG line 5044
149	8ca6dd9afa3b43892b127019264882b274f0c4fe69d74062bd1dfe2f4219f450	sha256:981a5c0042cc85e6a4471d77556004673324ae2e9e4ca396497fd4f7cc87a5da	Ioan 11:47-57	συναγάγῃ εἰς ἕν	sa adune într-unul. Lucrarea de strângere a copiilor lui Dumnezeu prin moartea Fiului.	ambiguous	G4863 + G1519 + G1520:συνάγω εἰς εἷς || G4863 + G1519 + G1527:συνάγω εἰς εἷς καθ᾽ εἷς	to assemble; toward; one@TBESG line 5015 + TBESG line 1659 + TBESG line 1660 || to assemble; toward; one by one@TBESG line 5015 + TBESG line 1659 + TBESG line 1667
